ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,CPI came down,CPI came down_lower,CPI came down_upper,FOMC Meeting,FOMC Meeting_lower,FOMC Meeting_upper,German Government sell Bitcoin,German Government sell Bitcoin_lower,German Government sell Bitcoin_upper,Held steady,Held steady_lower,Held steady_upper,Raise +25 bps,Raise +25 bps_lower,Raise +25 bps_upper,eth lauch date,eth lauch date_lower,eth lauch date_upper,halved,halved_lower,halved_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2016-06-25T00:00:00Z,467.06837169627624,-5689.427461913536,6325.044607092168,467.06837169627624,467.06837169627624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08975067032204828,-0.08975067032204828,-0.08975067032204828,-0.004939669081787054,-0.004939669081787054,-0.004939669081787054,-0.08481100124026122,-0.08481100124026122,-0.08481100124026122,0,0,0,425.1486722503078,434.45413926128384,443.5426067254731,452.4361906746143,453.7945005246561
2016-06-26T00:00:00Z,468.46848935868354,-5874.12288460329,6502.127774983718,468.46848935868354,468.46848935868354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09356901012863997,-0.09356901012863997,-0.09356901012863997,-0.002317222053792119,-0.002317222053792119,-0.002317222053792119,-0.09125178807484785,-0.09125178807484785,-0.09125178807484785,0,0,0,424.6343565329322,432.0925826409403,441.13319786639704,451.4121118364834,453.5469308738786
2016-06-27T00:00:00Z,469.86860702109084,-5398.864916279943,7202.2109094053685,469.86860702109084,469.86860702109084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09492625920884384,-0.09492625920884384,-0.09492625920884384,0.002089829077272079,0.002089829077272079,0.002089829077272079,-0.09701608828611592,-0.09701608828611592,-0.09701608828611592,0,0,0,425.2657378369084,429.9280440721532,438.7635723037949,450.2737940909301,453.28095384474994
2016-06-28T00:00:00Z,471.26872800202136,-6411.856851495561,6221.463438587076,471.26872800202136,471.26872800202136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09935698329757359,-0.09935698329757359,-0.09935698329757359,0.0027037202939949843,0.0027037202939949843,0.0027037202939949843,-0.10206070359156857,-0.10206070359156857,-0.10206070359156857,0,0,0,424.4448888652558,427.9923409785898,436.4692381406988,449.0316935863996,452.9788910101795
2016-06-29T00:00:00Z,472.66884898295183,-6249.089099428582,6882.897132669628,472.66884898295183,472.66884898295183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10222891507089514,-0.10222891507089514,-0.10222891507089514,0.004126778613797768,0.004126778613797768,0.004126778613797768,-0.10635569368469291,-0.10635569368469291,-0.10635569368469291,0,0,0,424.3484253636159,426.3194008936825,434.2908232527056,447.704830102922,452.66887487416795
2016-06-30T00:00:00Z,474.0689699638824,-5548.3408261959285,6489.023481291657,474.0689699638824,474.0689699638824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10917177103830832,-0.10917177103830832,-0.10917177103830832,0.0007129040000077204,0.0007129040000077204,0.0007129040000077204,-0.10988467503831603,-0.10988467503831603,-0.10988467503831603,0,0,0,422.3140209186188,424.9303218680751,432.2589657041229,446.3061198247829,452.32962621803387
2016-07-01T00:00:00Z,475.4690909448129,-5749.938396103363,6816.745140525912,475.4690909448129,475.4690909448129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11502116559286014,-0.11502116559286014,-0.11502116559286014,-0.0023763408494873787,-0.0023763408494873787,-0.0023763408494873787,-0.11264482474337276,-0.11264482474337276,-0.11264482474337276,0,0,0,420.7800819009629,423.8480262383717,430.408736109075,444.8571544211713,451.9660604701117
2016-07-02T00:00:00Z,476.86921192574334,-5730.425275976577,6519.381757102261,476.86921192574334,476.86921192574334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11958626480707663,-0.11958626480707663,-0.11958626480707663,-0.004939669081785539,-0.004939669081785539,-0.004939669081785539,-0.1146465957252911,-0.1146465957252911,-0.1146465957252911,0,0,0,419.84220407004943,423.0899593554776,428.7720493083807,443.3808758740247,451.5658593335445
2016-07-03T00:00:00Z,478.26933290667387,-5780.590128335295,6846.50662739746,478.26933290667387,478.26933290667387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1182303783924352,-0.1182303783924352,-0.1182303783924352,-0.0023172220538035197,-0.0023172220538035197,-0.0023172220538035197,-0.11591315633863168,-0.11591315633863168,-0.11591315633863168,0,0,0,421.7233687036202,422.67410395129025,427.38334329611524,441.9074193941955,451.1543702399624
2016-07-04T00:00:00Z,479.6694538876044,-5794.234826345616,6229.561313206224,479.6694538876044,479.6694538876044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11438974448420015,-0.11438974448420015,-0.11438974448420015,0.0020898290772750905,0.0020898290772750905,0.0020898290772750905,-0.11647957356147524,-0.11647957356147524,-0.11647957356147524,0,0,0,424.8001876205255,422.6075967775212,426.2678204248372,440.46241625360835,450.7606388027077
