ds,y,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2023-09-24,26461.59092483547,26594.795638173557,26703.230245964623,26782.550252898207,26367.75055265243
2023-09-23,26567.629662004663,26615.42474374288,26761.545179904944,26785.779933800666,26361.336138410577
2023-09-23,26568.04238594328,26640.156208501605,26798.976543333185,26785.494769198925,26355.433609169588
2023-09-23,26655.5,26677.393010509706,26838.852788069053,26789.16587446286,26350.727582659107
2023-09-22,26603.431494431494,26663.551939081135,26861.388502354766,26775.900568340407,26343.725321648646
2023-09-22,26732.375,26684.811111634648,26898.712668030388,26771.453696691686,26338.25385828092
2023-09-22,26575,26737.38421162133,26926.301953744674,26762.624092724433,26331.86635828092
2023-09-22,26605.994663820704,26811.664853755694,26952.1175637886,26760.089204751323,26326.740680604908
2023-09-21,26740.74991531575,26907.665616067017,26974.161948288565,26753.96019364848,26323.251851006902
2023-09-21,26828.7,26957.79687816477,26981.251240051726,26744.231236128708,26315.09304660114
2023-09-21,26558.6125,27000.312565628406,26987.80838290887,26727.73302184299,26305.81333373546
2023-09-21,26752.245702306078,27059.225065628405,26975.518204337444,26711.178070563863,26301.90365980727
2023-09-20,27100.386699906765,27112.614224426132,26958.074598939176,26688.810846404387,26293.51759644831
2023-09-20,27094.96449494053,27115.21969586802,26915.26058089897,26652.225607122004,26284.097797127917
2023-09-20,27278,27092.570273821508,26861.870259831787,26617.58726477023,26290.758163542716
2023-09-20,27091.66875,27040.658280510113,26810.01468769639,26570.340028859926,26280.343348727896
2023-09-19,27126.30981224546,27004.705601938687,26772.012995064662,26529.12811907652,26283.84544096162
2023-09-19,26971,26975.304200189337,26739.478960856653,26467.311274085016,26305.277636049832
2023-09-19,27125.96981389015,26891.81134304648,26690.412634326047,26409.42980356322,26331.538747160943
2023-09-19,27118.625,26803.534973452217,26644.194725352987,26361.664515549393,26352.715976438583
2023-09-18,26936.418540614963,26715.301465929915,26598.946231704187,26314.093536191802,26376.697136989547
2023-09-18,26914.61604682024,26631.170245842066,26568.06084571405,26275.54122653683,26402.89982340632
2023-09-18,26840,26579.371094882667,26533.7584390084,26238.01303051702,26432.900756219427
2023-09-18,26920.5,26539.32038819064,26507.21123220568,26206.454418544945,26461.086790631853
2023-09-17,26386.55,26503.653721523973,26467.657660777106,26173.41305811785,26488.72616982285
2023-09-17,26508.03522673031,26489.013925605603,26446.837936790278,26157.65227025512,26521.644986289404
2023-09-17,26500.990447343895,26484.85447725376,26419.5470938696,26138.984041037213,26553.459909795136
2023-09-16,26347.5,26482.590997478463,26389.19063334504,26110.071965512696,26585.785307238293
2023-09-16,26552.021990104455,26504.95144558603,26373.304269708675,26085.867519723077,26619.732695670104
2023-09-16,26559.64505315583,26488.145783134132,26330.665370023453,26055.647321972425,26652.338006891172
2023-09-15,26670.833333333332,26475.102076220715,26286.24324308837,26025.650464927072,26684.06265474859
2023-09-15,26284.071428571428,26431.66160003024,26195.14358731337,25996.10780748842,26714.185227251954
2023-09-15,26478.919088267347,26404.661947974957,26128.4469728004,25978.524302277827,26749.794768782922
2023-09-15,26485.14608891685,26354.239710485454,26079.134305745803,25958.95219517324,26783.49733231909
2023-09-14,26504.023136752978,26295.790269211615,26029.240840679424,25939.126288537813,26819.15342362057
2023-09-14,26434.382352941175,26241.65709383132,25983.021607359613,25914.53699884052,26854.76853918384
2023-09-14,26468.339104761904,26173.184956912773,25942.267622025644,25892.973504798832,26891.83651304005
2023-09-13,26366.75,26097.384409956027,25905.69760488422,25866.497653605154,26926.5504432128
2023-09-13,26095.073864184433,25958.62557459651,25879.1684554586,25845.901457147393,26966.81710987947
2023-09-13,26125.963425840837,25852.231997625848,25868.466603719953,25836.773819140806,27005.990181555542
2023-09-12,26076,25804.028901006157,25858.42098820483,25854.75479789045,27038.285395627398
2023-09-12,26125.090909090908,25762.69141214723,25830.953297680342,25874.568029740567,27074.14095118295
2023-09-12,25955.077394511336,25724.386120887906,25798.43076973748,25898.469544892083,27106.070347118537
2023-09-12,25937.735276064654,25711.35028713851,25780.6292739214,25946.787510585975,27140.52888082251
2023-09-11,25395.43815248339,25714.01079981241,25765.05768676577,25995.940253374447,27175.403827243706
2023-09-11,25350.31882538982,25799.711336320684,25797.072027663467,26069.424605071465,27215.980126645933
2023-09-10,25788.541749502983,25884.70120981406,25828.60163175525,26131.243241669057,27256.88642341728
2023-09-10,25786.637577987523,25912.8130754035,25838.77008460067,26186.015560139185,27293.941453514733
2023-09-09,25856.95387027562,25899.21518321346,25849.011736396205,26236.650821677995,27333.253813759322
2023-09-09,25863.826558265584,25872.475418587048,25846.052390321416,26242.336472824456,27369.64680065077
2023-09-08,25956.35886478194,25849.908260704287,25843.67938757202,26248.301963821337,27406.59847811754
2023-09-08,25995.341908041322,25816.104573719134,25827.297702326094,26251.900232127642,27447.205601842183
2023-09-07,25945.24793984343,25794.43271900625,25812.634458836194,26254.23925819052,27482.774615999664
2023-09-07,25985.324808629088,25772.50205369644,25805.081034561666,26257.039871501114,27521.602747355904
2023-09-06,25691.4523326572,25764.727093797843,25851.08860757607,26258.61810831543,27566.838027260022
2023-09-06,25669.775517890772,25798.808289578952,25918.182761800792,26269.723681573985,27608.45260549851
2023-09-05,25705.85645308626,25819.629362055788,25998.508320046687,26281.751557591575,27645.79277077108
2023-09-05,25719.73305588585,25837.45051443975,26112.94574725055,26301.239999006637,27682.730488809055
2023-09-04,25843.638925051142,25838.490830933057,26226.822819983117,26320.025430515056,27722.533454854765
2023-09-04,25791.733282674773,25830.836198666137,26341.777182479465,26325.940111763222,27761.153283030846
2023-09-03,25930.90008933889,25837.660015426885,26433.88485158286,26341.464477209567,27800.43014072939
2023-09-03,25930.020703125,25937.450121354304,26533.261035677704,26352.622692356825,27837.451858788656
2023-09-02,25815.5230252286,26037.557234022628,26624.289906959777,26352.141771291463,27874.29136587758
2023-09-02,25830.60451977401,26177.38727803759,26638.620555327496,26354.597864785737,27913.171029274326
2023-09-01,25727.01527133897,26388.440980061354,26652.92454007065,26361.94777587651,27951.858636197474
2023-09-01,25790.056499182716,26615.154809033178,26676.502761929187,26376.857944757263,27991.306200332754
2023-09-01,25839.5,26852.71816629279,26695.844057544837,26385.25937368141,28030.196296714857
2023-08-31,26629.430830830832,27030.109687738837,26708.998708440566,26394.95579480056,28069.08859071735
2023-08-31,26630.77049180328,27129.0719500011,26666.147609054788,26378.101122270888,28098.96197157797
2023-08-31,26794.333333333332,27211.022579896926,26621.264601347182,26359.633926462167,28128.764857884227
2023-08-30,27307.980433940334,27099.853832617395,26564.994795136456,26341.693450271694,28156.878581032757
2023-08-30,27314.012074141756,26917.40810007995,26489.53425076272,26295.21048901657,28183.351020655642
2023-08-30,27453,26737.8507148252,26413.22804104699,26248.050266443257,28204.016970966637
2023-08-29,27081.240650122334,26538.969948796886,26310.10304104699,26203.541046674065,28223.115939096206
2023-08-29,27322.166666666668,26387.887729142298,26249.044102836273,26164.83602345541,28253.00308002078
2023-08-29,27204.424901074053,26203.223268108475,26171.984349035945,26126.63738396986,28275.27242176972
2023-08-28,26016.1521023766,26031.506622797435,26079.99363562314,26144.1364043698,28298.85657270977
2023-08-28,26030.860306178238,26030.13575765552,26070.575174243982,26155.726210237302,28343.08827643774
2023-08-27,26057.11037735849,26061.66040144549,26070.971011682374,26204.868951125038,28387.09209526673
2023-08-27,26060.834637801832,26088.60536726878,26077.213127585335,26311.943843725956,28429.118813088004
2023-08-26,26023.66511254019,26081.23613329709,26074.674689817977,26428.86046380446,28471.182064033714
2023-08-26,26029.515439429928,26110.200476530244,26080.91288116056,26536.29815438795,28513.594775775255
2023-08-25,26002.408383896753,26140.74542996342,26090.05463548699,26652.277226179263,28560.07793755937
2023-08-25,26006.556046383215,26128.480648448854,26098.00325157715,26769.85765240169,28602.807055704394
2023-08-24,26251.532812707992,26111.014590832452,26118.392105406918,26898.719936459434,28646.877283758757
2023-08-24,26245.725138121546,26080.281621919265,26100.88672727042,27010.33458947408,28688.53760502453
2023-08-23,26009.25,26065.820887901897,26082.872491839524,27123.27455336939,28738.142246346983
2023-08-23,26226.415515172295,26068.113246338868,26096.979052301143,27242.560034869024,28782.053330908246
2023-08-23,26243.33011346213,26051.625285790866,26080.62794407455,27354.880135835938,28823.54431444539
2023-08-22,25916.554913294796,26039.36384101056,26081.290418903773,27467.985353827593,28864.064806700295
2023-08-22,25884.2936430684,26067.52585470545,26208.279173116458,27592.49285545503,28910.330863219246
2023-08-21,26036.402030315672,26125.76961998139,26240.87724623062,27721.143082488303,28954.551013899905
2023-08-21,26144.5,26121.49183262159,26338.766890567702,27841.80241570288,28999.60898141748
2023-08-21,26025.29650905877,26099.924095777154,26546.674559866577,27957.42258922558,29046.88675919526
2023-08-20,26110.999791336282,26125.84485826342,26783.04623779095,28081.123791272003,29091.984348062757
2023-08-20,26157.5,26109.630602358233,26991.683427615346,28202.593434671526,29138.225835265715
2023-08-20,26113.689009159036,26123.216996796982,27214.499816871536,28328.903945601876,29188.79527971016
2023-08-19,26292,26349.032491527465,27441.712053226227,28457.32160732645,29234.87352616924
2023-08-19,26006.457518796993,26355.984872479843,27679.047767511944,28581.55375018359,29283.16241505813
2023-08-19,25993.525842089,26556.04194851382,27919.78245167774,28709.630010951892,29330.9432075012
2023-08-18,26206.74184646262,26993.425023956,28163.67661489925,28852.38801659157,29378.796294440956
2023-08-18,25997.5,27440.24761731848,28388.141017436898,28974.31331904046,29431.279207620206
2023-08-18,26252.60476107124,27873.736252872455,28629.132327597326,29082.707343765735,29485.259362105448
2023-08-17,27694.397472272376,28305.78263694609,28854.680288751413,29191.650030870333,29550.24986476021
2023-08-17,26340.666666666668,28534.391614924993,28976.706537793612,29238.23356912108,29587.119862831947
2023-08-17,27406.857051034836,29002.11066254404,29201.40891874599,29335.22209630688,29638.533151243137
2023-08-16,29055.207370184253,29283.522954841657,29344.837940838068,29394.851503554644,29673.884735087093
2023-08-16,29334.5,29333.928205842498,29368.170618584587,29394.5692795725,29698.754653196156
2023-08-16,29031.920448877805,29336.034417555315,29379.20134475306,29383.761620101453,29712.70226955191
2023-08-15,29276.92944958666,29384.528402322198,29413.50344172771,29387.032120437034,29729.022712261292
2023-08-15,29294.660318124737,29403.57794055674,29443.308074332217,29388.73999723751,29742.601374444246
2023-08-14,29614.7,29419.021460662225,29472.93116142667,29382.94222482258,29762.39681535397
2023-08-14,29376.743097118142,29400.70717494794,29484.05973285524,29367.75570804666,29770.20415246959
2023-08-14,29408.044127190136,29406.152926834475,29499.47757022604,29376.122026006728,29787.223673612723
2023-08-13,29349.24348198971,29402.413031326672,29541.099418283888,29368.568777971883,29797.50716053675
2023-08-13,29371.37834224599,29422.3682719508,29560.48562064402,29371.802216540276,29807.72726654251
2023-08-12,29410.276217228464,29442.478481133217,29536.28235993414,29396.27084717435,29817.47860745522
2023-08-12,29402.764958863125,29483.038208107697,29528.61977298925,29397.21685277767,29826.396266025295
2023-08-11,29486.5,29526.84086219111,29499.760600448553,29383.917761119064,29835.43062324658
2023-08-11,29414.863360323885,29567.41229076254,29469.03527386777,29367.62315670848,29842.94735284591
2023-08-11,29381.864858635527,29592.80221361761,29444.86506627122,29363.592322411198,29851.26512384459
2023-08-10,29488.930166358594,29679.78580524111,29420.967940560415,29361.362272492017,29866.06454208197
2023-08-10,29512.149806522943,29698.602969337237,29388.321895449848,29355.566569248618,29878.027222691715
2023-08-09,29694.194306049823,29630.08623873506,29360.56079914636,29346.663173111116,29889.64440821364
2023-08-09,29709.383537447007,29574.2013378708,29334.171920142802,29330.64110293533,29898.79572702791
2023-08-09,29770.5,29472.680338706,29292.953288218483,29316.5450027028,29907.82854082041
